mr,ref,group
bluelion_big;lemon_small;eye_small,it's a blue lion on top and a lemon on the left and a eye on the right blue lion's on the top and the lemon,01
iron_big;lime_small;nail_small,okay it's a uh it- an iron on top with a green lime on the bottom left and a nail on the bottom right,01
urn_big;bluemoon_small;yellowmoon_small,it's like a Greek pot or an urn on top with a blue moon on the bottom left a- and a yellow moon on the bottom right,01
iron_big;lime_small;nail_small,it's the one before the iron on top the green lime on the bottom left and the nail on the bottom right,01
alien_big;yellowlion_small;money_small,it's a gray space alien on top with a yellow lion on the bottom left and a pile of money on the bottom right,01
bluelion_big;lemon_small;eye_small,it's the blue lion on top and the lemon on the left and the eye on the right,01
urn_big;bluemoon_small;yellowmoon_small,it's the Grec- it- it's the Grecian urn with the blue moon and the yellow moon in the two corners,01
alien_big;yellowlion_small;money_small,uh space alien yellow lion and the money,01
menorah_big;arrow_small;melon_small,uh it's a menorah on top with a arrow on the bottom left and like a half a melon or a pomegranate on the bottom right I guess,01
menorah_big;arrow_small;melon_small,and it's the same one again uh the menorah and the arrow and the pomegranate,01
bluemermaid_big;arm_small;onion_small,okay so I have a uh a blue uh mermaid on the top an arm down to the left and an onion down to the right,01
shoe_big;carrot_small;racket_small,okay there's a red and white shoe on top and carrots on the bottom left and a like a tennis racket o- on the bottom right,01
shoe_big;carrot_small;racket_small,okay so I have a shoe carrots and a tennis racket,01
mime_big;yarn_small;oreo_small,okay th- th- there's a mime on top and a gray ball of twine on the bottom left and an oreo cookie on the bottom right,01
shoe_big;wine_small,okay so at the top is a shoe and then down to the right is uh a bottle of wine and a glass of wine together,01
bluemermaid_big;arm_small;onion_small,there's a blue mermaid on top with somebodys arm on the left and an onion on the right,01
sunflower_big;microphone_small;microphone_right,okay so I have a sunflower up on top and two microphones on the left and the right underneath it,01
shoe_big;kettle_small;wine_small,alright a red and white shoe on top with a tea kettle on the bottom left and a bottle of wine with a glass of wine on th- o- on the bottom right,01
shoe_big;carrot_small;racket_small,okay I have a uh the same shoe we were just looking at but below that is a carrot and a tennis racket,01
mime_big;yarn_small;oreo_small,uh this is the mime with the twine on the left and the c- oreo c- cookie on the right again,01
loom_big;whale_small;iron_small,uh and then a whale and an iron underneath,01
loom_big;whale_small;iron_small,uh this is the lady at the loom and the whale a- and the iron,01
mm_big;one_small;nine_small,okay so up at the top is one of the M and M guys and below is the n- number one and then to the right is the number nine,01
shoe_big;sunflower_small;racket_small,uh I think you might have this oh uu uh the red shoe with the sunflower on the bottom left and the ?- tennis racket in the bottom right,01
mm_big;one_small;nine_small,okay so it's the same one I just described the M and M guy up at the top and one and nine,01
kettle_big;safetypin_small;racket_small,this is a tea kettle on top with a clothes pin on the bottom left and a tennis racket on the o- o- on the bottom right,01
racket_big,okay this is just a tennis racket,01
limo_big;mirror_small;worm_small,this is a stretch limo on top with like a portrait on the bottom left and a worm on the bottom right,01
microphone_big;carrot_small;shoe_small,excuse me I have a uh microphone up top and then the bottom is a carrots and a shoe,01
microphone_big;carrot_small,a microphone on top and carrots on the left,01
limo_big;mirror_small;worm_small,uh alright so this one up top is a limo and then uh bottom left I'm not sure if it's a mirror or a picture frame and then the snake,01
airplane_big;yarn_small;oreo_small,uh this is a like a airplanes silhouette on top with a ball of twine and the oreo c- cookie,01
bluemermaid_big;arm_small;onion_small,okay this one is a uh blue mermaid and then a arm and an onion,01
racket_big,uh this is just a t- a tennis racket,01
yellowrhino_big,okay so I have a card that is just a rhinoceros,01
lamb_big;knee_small,okay now I have uh a baby sheep a lamb on top and a n- a pointing to a knee yeah under it,01
yellowrhino_big;ruler_small,okay so now I have a yellow rhinoceros on top and a ruler uh underneath it to the right and that's it,01
yellowrhino_big;ear_small,okay now I have the same yellow rhinoceros on top and an ear uh down and to the right,01
yellowrhino_big;owl_small,okay so the same rhinoceros again but this time uh there's an owl underneath it to the left,01
yellowrhino_big;owl_small;ear_small,okay same rhinoceros uh but below on the left is an owl on the right is an ear,01
lamb_big;windmill_small;llama_small,okay so I have the baby sheep on the top a llama on the left and a windmill on the right,01
yellowrhino_big;owl_small;ruler_small,okay now I have the rhinoceros on the bottom is an owl and a ruler,01
yellowrhino_big;owl_small;ear_middle;ruler_small,okay so now rhinoceros is on the top and at the bottom I have three owl ear ruler,01
lamb_big;lawnmower_small;arrow_middle;nun_small,uh the lamb at the top and then on the bottoms three is the uh lawnmower the arrow and the nun okay that's all I have,01
bluelion_big,a blue lion on top okay,01
airplane_big,okay I have a red airplane,01
airplane_big,okay I have a red airplane,01
yellowlion_big,okay I have a yellow lion,01
bluelion_big;lemon_small,I have a blue lion with a lemon below it,01
yellowlion_big;bluemoon_small,okay I have a yellow lion with a blue moon below it,01
bluelion_big;iron_small,I have a blue lion with a iron uh on th- on the bottom right,01
yellowlion_big;lemon_small,okay I have a yellow lion with a lemon under it,01
yellowlion_big;lemon_small,I have a yellow lion with a lemon under it,01
bluelion_big;alien_small,okay I have a blue lion with an alien under him,01
alien_big;eye_small,I have an alien on top and a open eye o- on the bottom right,01
yellowlion_big;bluemoon_small;iron_small,okay on the top I have the yellow lion and on the bottom is a blue moon and an iron,01
bluelion_big;lemon_small;yellowmoon_small,I have a blue lion on top with a yellow lemon and a yellow moon,01
bluelion_big;lemon_small;yellowmoon_small,okay I have a blue lion and underneath is a lemon and a yellow moon,01
pineapple_big;sock_small,I've a pineapple and a sock,01
nail_big;lime_small;money_small,okay so up top is a nail and then below it is uh a lime and some money,01
bluelion_big;lemon_small;iron_small,uh a blue lion and a lemon and an iron,01
yellowlion_big;lemon_small;money_small,okay up top I have a yellow lion then I have a lemon and money underneath,01
nail_big;lime_small;money_small,I have a nail and a green lime and some money,01
yellowlion_big;lime_small;lemon_middle;yellowmoon_small,okay so now I have uh the yellow lion up on top and on the bottoms three a lime a lemon and a yellow moon,01
bluelion_big;bluemoon_small;lemon_middle;iron_small,I have a blue lion on top with a blue moon and a lemon and an iron,01
bluelion_big;lemon_small;yellowmoon_small,okay this is I think the same one the blue lion a lemon and a yellow moon,01
bluelion_big;lemon_small,uh this is j- just a blue lion and a lemon,01
yellowlion_big;bluemoon_small,okay this is a yellow lion and a blue moon,01
bluemermaid_big;arm_small,okay there's a blue mermaid and an arm,01
mime_big;onion_small,there's a mime and an onion,01
bluemermaid_big;worm_small,the blue mermaid and a snake or a worm,01
onion_big;oreo_small,there's an onion and an oreo,01
yarn_big;bluemermaid_small,a ball of twine and a blue mermaid,01
loom_big;lily_small,a woman at a loom and like a flower,01
mm_big;whale_small,uh that M and M guy and uh like a sperm whale,01
arm_big;lily_small,the arm and the flower,01
mirror_big;mm_small,uh a mirror and th- the M and M guy,01
yellowrhino_big;owl_small,okay so I have a uh yellow rhinoceros and an owl,01
ear_big;yellowrhino_small,I have an ear and a yellow rh- rhinoceros,01
ruler_big;ear_small,okay I have a ruler and an ear,01
ruler_big;one_small,I have a ruler and the number one,01
zebra_big;toilet_small,okay I have a uh zebra and a toilet,01
sunflower_big;belt_small;microphone_small,I have a sunflower and a microphone and a leash,01
lamb_big;knee_small,uh so it's back to me the uh I have a lamb and a knee like uh pointing to the knee,01
windmill_big;knee_small,I have a windmill and pointing to the knee,01
microphone_big;sunflower_small;belt_small,alright the uh alright I have a microphone up at top,01
bluemailman_big;lawnmower_small,I have a blue mailman on top and a lawnmower on the bottom,01
lawnmower_big;nun_small,okay I have a blue lawnmower on top and a nun on the bottom,01
llama_big;limo_small,I have a llama on top and a stretch limo on the bottom,01
nun_big;strawberry_small,okay I have a nun on top and a strawberry on the bottom,01
zebra_big;toilet_small,I have a zebra on top and a toilet on the bottom,01
nail_big;owl_small,okay I have a nail on the top and an owl,01
limo_big;nine_small,I have a stretch limo on top and a number nine in the bottom right,01
lei_big;llama_small,okay I have what I think is a Hawaiian lei on the top in pink and a llama,01
lamb_big;nail_small,I have a baby sheep on top and a nail ?- ?- on the bottom,01
nun_big;lily_small,ok- oh okay so I have a nun on top and a flower on the bottom,01
mirror_big;chair_small,I've a mirror on top and a chair on the bottom,01
lamb_big;nail_small,okay I have a sheep on top and a nail on the bottom,01
lily_big;knee_small,I have a flower on top and pointing to a knee o- on the bottom,01
llama_big;limo_small,I have a llama on top and a limo on the bottom,01
lei_big;mirror_small,I have the Hawaiian lei on top,01
bluelion_big;lemon_small;eye_small,um as the main picture it's a blue lion and then in the bottom left hand is a lemon and then the bottom right is a picture of an eye,02
iron_big;lime_small;nail_small,um well the main picture is of an iron like um like ironing board iron,02
urn_big;bluemoon_small;yellowmoon_small,in on the main picture is a like a Grecian like a Greek vase and or urn and then there is a crescent on the bottom right and then a blue one and then a yellow one identical,02
iron_big;lime_small;nail_small,um it's a picture of the iron again and the lime and the nail,02
alien_big;yellowlion_small;money_small,as the main picture and then there is a little lion on the left and um dollar or like paper currency and coins,02
bluelion_big;lemon_small;eye_small,um the blue lion again and then a lemon and then an eye,02
urn_big;bluemoon_small;yellowmoon_small,um the Greek vase the blue crescent and then the yellow crescent,02
alien_big;yellowlion_small;money_small,the alien and then the lion and then the money,02
menorah_big;arrow_small;melon_small,the menorah is the main big thing and then there's an arrow and then cantaloupe,02
menorah_big;arrow_small;melon_small,um the menorah the arrow and the cantaloupe,02
bluemermaid_big;arm_small;onion_small,okay the first card I see has a blue mermaid in the top center an arm in the lower left and an onion in the lower right,02
shoe_big;carrot_small;racket_small,uh there is a shoe um like s- like a spa like a male two tone shoe and then there's carrots on the left and a tennis racket on the right,02
shoe_big;carrot_small;racket_small,okay a shoe carrots and tennis racket just like you described is what I see,02
mime_big;yarn_small;oreo_small,um like a mime uh with a black hat on an- as the main picture um a ball of uh gray yarn and then an an oreo cookie I think that's what it is,02
shoe_big;wine_small,I see a shoe just like the other one and then in the lower right there's a glass of wine and a bottle of wine and there's nothing in the lower left,02
